idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000285959.1	9.1818	7.5147	10.1917	11.0717	11.2718	3.3834	4.3576	11.5921	9.3319	9.4816	1.9144	9.8317	10.3517	8.1522	13.292
ENSG00000285960.1	0	0	1.0312	0	1.1699	0	1.4958	0	0	0	0	0	0	0	0
ENSG00000285961.1	0	0.948	0	0	0	0	0.9372	0	0	0	0	0	0	0.9042	0
ENSG00000285963.1	0	0	0	0	1.1699	0	0	2.1681	0	0	0	1.0466	0	0	0
ENSG00000285964.1	0.9565	0	0	1.6214	1.1699	2.3054	2.8883	0	0.8857	1.057	1.4701	1.0466	0.9136	1.8538	1.9034
ENSG00000285966.1	4.4256	4.9973	5.0899	4.6192	4.5163	4.6724	5.0254	4.7525	4.7696	4.5468	5.0963	4.7282	5.0168	4.6788	5.8527
ENSG00000285967.1	9.1918	9.6543	9.0616	9.0816	9.1413	9.4217	9.5218	9.2907	9.2319	8.7315	9.8418	9.6417	9.9818	9.5318	9.2011
ENSG00000285968.1	3.6883	3.7915	2.9436	2.087	2.8218	2.6446	2.13	1.9075	1.2566	2.1661	6.3635	3.1511	2.4134	1.2611	0
ENSG00000285969.1	0	0	0	1.0312	0	0.9909	0	0	0	1.6554	0	0	1.4638	0.9042	0
ENSG00000285970.1	0	0	0	0	0	0.9909	1.5735	0	0.9041	0	0.9183	1.0466	0	0	0
ENSG00000285971.1	0.9565	0.948	1.6214	1.0312	0	2.5648	0.9372	0	0	2.6737	2.8538	1.0466	0.9136	2.4167	2.7006
ENSG00000285972.1	7.3522	7.0549	7.7014	7.1913	7.0092	7.1918	7.2624	7.4161	7.283	7.171	6.5233	7.3312	7.4426	7.8624	7.078
ENSG00000285973.2	6.8924	6.895	6.9112	6.1909	6.5682	6.4219	6.4131	6.6113	5.8953	5.9699	7.2427	5.8401	6.7432	5.8049	6.2349
ENSG00000285974.1	5.0443	5.4864	5.3802	5.2	5.4739	5.6421	5.3546	5.8334	5.8653	5.1585	5.1361	5.9402	5.4355	5.1269	6.1746
ENSG00000285975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4675
ENSG00000285976.2	11.5417	11.0642	11.2717	11.8117	10.9518	9.9317	10.4317	10.6217	11.9616	10.4617	10.3417	11.4917	11.3017	10.6017	9.8615
